season,season_type,week_name,week_start,week_end,game_name,game_short,game_date,home_team,home_venue,away_team
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Tampa Bay Buccaneers at Atlanta Falcons,TB @ ATL,2024-10-04 00:15:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Tampa Bay Buccaneers
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,New York Jets at Minnesota Vikings,NYJ VS MIN,2024-10-06 13:30:00+00:00,Minnesota Vikings,U.S. Bank Stadium,New York Jets
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Carolina Panthers at Chicago Bears,CAR @ CHI,2024-10-06 17:00:00+00:00,Chicago Bears,Soldier Field,Carolina Panthers
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Baltimore Ravens at Cincinnati Bengals,BAL @ CIN,2024-10-06 17:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Baltimore Ravens
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Miami Dolphins at New England Patriots,MIA @ NE,2024-10-06 17:00:00+00:00,New England Patriots,Gillette Stadium,Miami Dolphins
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Cleveland Browns at Washington Commanders,CLE @ WSH,2024-10-06 17:00:00+00:00,Washington Commanders,Commanders Field,Cleveland Browns
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Indianapolis Colts at Jacksonville Jaguars,IND @ JAX,2024-10-06 17:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Indianapolis Colts
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Buffalo Bills at Houston Texans,BUF @ HOU,2024-10-06 17:00:00+00:00,Houston Texans,NRG Stadium,Buffalo Bills
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Las Vegas Raiders at Denver Broncos,LV @ DEN,2024-10-06 20:05:00+00:00,Denver Broncos,Empower Field at Mile High,Las Vegas Raiders
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Arizona Cardinals at San Francisco 49ers,ARI @ SF,2024-10-06 20:05:00+00:00,San Francisco 49ers,Levi's Stadium,Arizona Cardinals
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Green Bay Packers at Los Angeles Rams,GB @ LAR,2024-10-06 20:25:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Green Bay Packers
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,New York Giants at Seattle Seahawks,NYG @ SEA,2024-10-06 20:25:00+00:00,Seattle Seahawks,Lumen Field,New York Giants
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,Dallas Cowboys at Pittsburgh Steelers,DAL @ PIT,2024-10-07 00:20:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Dallas Cowboys
Regular Season,2,Week 5,2024-10-02 07:00:00+00:00,2024-10-09 06:59:00+00:00,New Orleans Saints at Kansas City Chiefs,NO @ KC,2024-10-08 00:15:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,New Orleans Saints
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,San Francisco 49ers at Seattle Seahawks,SF @ SEA,2024-10-11 00:15:00+00:00,Seattle Seahawks,Lumen Field,San Francisco 49ers
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Jacksonville Jaguars at Chicago Bears,JAX VS CHI,2024-10-13 13:30:00+00:00,Chicago Bears,Soldier Field,Jacksonville Jaguars
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Arizona Cardinals at Green Bay Packers,ARI @ GB,2024-10-13 17:00:00+00:00,Green Bay Packers,Lambeau Field,Arizona Cardinals
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Indianapolis Colts at Tennessee Titans,IND @ TEN,2024-10-13 17:00:00+00:00,Tennessee Titans,Nissan Stadium,Indianapolis Colts
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Houston Texans at New England Patriots,HOU @ NE,2024-10-13 17:00:00+00:00,New England Patriots,Gillette Stadium,Houston Texans
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Tampa Bay Buccaneers at New Orleans Saints,TB @ NO,2024-10-13 17:00:00+00:00,New Orleans Saints,Caesars Superdome,Tampa Bay Buccaneers
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Cleveland Browns at Philadelphia Eagles,CLE @ PHI,2024-10-13 17:00:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Cleveland Browns
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Washington Commanders at Baltimore Ravens,WSH @ BAL,2024-10-13 17:00:00+00:00,Baltimore Ravens,M&T Bank Stadium,Washington Commanders
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Los Angeles Chargers at Denver Broncos,LAC @ DEN,2024-10-13 20:05:00+00:00,Denver Broncos,Empower Field at Mile High,Los Angeles Chargers
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Pittsburgh Steelers at Las Vegas Raiders,PIT @ LV,2024-10-13 20:05:00+00:00,Las Vegas Raiders,Allegiant Stadium,Pittsburgh Steelers
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Detroit Lions at Dallas Cowboys,DET @ DAL,2024-10-13 20:25:00+00:00,Dallas Cowboys,AT&T Stadium,Detroit Lions
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Atlanta Falcons at Carolina Panthers,ATL @ CAR,2024-10-13 20:25:00+00:00,Carolina Panthers,Bank of America Stadium,Atlanta Falcons
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Cincinnati Bengals at New York Giants,CIN @ NYG,2024-10-14 00:20:00+00:00,New York Giants,MetLife Stadium,Cincinnati Bengals
Regular Season,2,Week 6,2024-10-09 07:00:00+00:00,2024-10-16 06:59:00+00:00,Buffalo Bills at New York Jets,BUF @ NYJ,2024-10-15 00:15:00+00:00,New York Jets,MetLife Stadium,Buffalo Bills
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Denver Broncos at New Orleans Saints,DEN @ NO,2024-10-18 00:15:00+00:00,New Orleans Saints,Caesars Superdome,Denver Broncos
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,New England Patriots at Jacksonville Jaguars,NE VS JAX,2024-10-20 13:30:00+00:00,Jacksonville Jaguars,EverBank Stadium,New England Patriots
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Seattle Seahawks at Atlanta Falcons,SEA @ ATL,2024-10-20 17:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Seattle Seahawks
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Tennessee Titans at Buffalo Bills,TEN @ BUF,2024-10-20 17:00:00+00:00,Buffalo Bills,Highmark Stadium,Tennessee Titans
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Cincinnati Bengals at Cleveland Browns,CIN @ CLE,2024-10-20 17:00:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Cincinnati Bengals
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Houston Texans at Green Bay Packers,HOU @ GB,2024-10-20 17:00:00+00:00,Green Bay Packers,Lambeau Field,Houston Texans
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Miami Dolphins at Indianapolis Colts,MIA @ IND,2024-10-20 17:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Miami Dolphins
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Detroit Lions at Minnesota Vikings,DET @ MIN,2024-10-20 17:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Detroit Lions
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Philadelphia Eagles at New York Giants,PHI @ NYG,2024-10-20 17:00:00+00:00,New York Giants,MetLife Stadium,Philadelphia Eagles
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Las Vegas Raiders at Los Angeles Rams,LV @ LAR,2024-10-20 20:05:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Las Vegas Raiders
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Carolina Panthers at Washington Commanders,CAR @ WSH,2024-10-20 20:05:00+00:00,Washington Commanders,Commanders Field,Carolina Panthers
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Kansas City Chiefs at San Francisco 49ers,KC @ SF,2024-10-20 20:25:00+00:00,San Francisco 49ers,Levi's Stadium,Kansas City Chiefs
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,New York Jets at Pittsburgh Steelers,NYJ @ PIT,2024-10-21 00:20:00+00:00,Pittsburgh Steelers,Acrisure Stadium,New York Jets
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Baltimore Ravens at Tampa Bay Buccaneers,BAL @ TB,2024-10-22 00:15:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Baltimore Ravens
Regular Season,2,Week 7,2024-10-16 07:00:00+00:00,2024-10-23 06:59:00+00:00,Los Angeles Chargers at Arizona Cardinals,LAC @ ARI,2024-10-22 01:00:00+00:00,Arizona Cardinals,State Farm Stadium,Los Angeles Chargers
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Minnesota Vikings at Los Angeles Rams,MIN @ LAR,2024-10-25 00:15:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Minnesota Vikings
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Baltimore Ravens at Cleveland Browns,BAL @ CLE,2024-10-27 17:00:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Baltimore Ravens
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Tennessee Titans at Detroit Lions,TEN @ DET,2024-10-27 17:00:00+00:00,Detroit Lions,Ford Field,Tennessee Titans
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Arizona Cardinals at Miami Dolphins,ARI @ MIA,2024-10-27 17:00:00+00:00,Miami Dolphins,Hard Rock Stadium,Arizona Cardinals
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,New York Jets at New England Patriots,NYJ @ NE,2024-10-27 17:00:00+00:00,New England Patriots,Gillette Stadium,New York Jets
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Atlanta Falcons at Tampa Bay Buccaneers,ATL @ TB,2024-10-27 17:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Atlanta Falcons
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Chicago Bears at Washington Commanders,CHI @ WSH,2024-10-27 17:00:00+00:00,Washington Commanders,Commanders Field,Chicago Bears
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Green Bay Packers at Jacksonville Jaguars,GB @ JAX,2024-10-27 17:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Green Bay Packers
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Indianapolis Colts at Houston Texans,IND @ HOU,2024-10-27 17:00:00+00:00,Houston Texans,NRG Stadium,Indianapolis Colts
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,New Orleans Saints at Los Angeles Chargers,NO @ LAC,2024-10-27 20:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,New Orleans Saints
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Buffalo Bills at Seattle Seahawks,BUF @ SEA,2024-10-27 20:05:00+00:00,Seattle Seahawks,Lumen Field,Buffalo Bills
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Philadelphia Eagles at Cincinnati Bengals,PHI @ CIN,2024-10-27 20:25:00+00:00,Cincinnati Bengals,Paycor Stadium,Philadelphia Eagles
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Carolina Panthers at Denver Broncos,CAR @ DEN,2024-10-27 20:25:00+00:00,Denver Broncos,Empower Field at Mile High,Carolina Panthers
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Kansas City Chiefs at Las Vegas Raiders,KC @ LV,2024-10-27 20:25:00+00:00,Las Vegas Raiders,Allegiant Stadium,Kansas City Chiefs
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,Dallas Cowboys at San Francisco 49ers,DAL @ SF,2024-10-28 00:20:00+00:00,San Francisco 49ers,Levi's Stadium,Dallas Cowboys
Regular Season,2,Week 8,2024-10-23 07:00:00+00:00,2024-10-30 06:59:00+00:00,New York Giants at Pittsburgh Steelers,NYG @ PIT,2024-10-29 00:15:00+00:00,Pittsburgh Steelers,Acrisure Stadium,New York Giants
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Houston Texans at New York Jets,HOU @ NYJ,2024-11-01 00:15:00+00:00,New York Jets,MetLife Stadium,Houston Texans
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Dallas Cowboys at Atlanta Falcons,DAL @ ATL,2024-11-03 18:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Dallas Cowboys
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Miami Dolphins at Buffalo Bills,MIA @ BUF,2024-11-03 18:00:00+00:00,Buffalo Bills,Highmark Stadium,Miami Dolphins
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Las Vegas Raiders at Cincinnati Bengals,LV @ CIN,2024-11-03 18:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Las Vegas Raiders
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Los Angeles Chargers at Cleveland Browns,LAC @ CLE,2024-11-03 18:00:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Los Angeles Chargers
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,New England Patriots at Tennessee Titans,NE @ TEN,2024-11-03 18:00:00+00:00,Tennessee Titans,Nissan Stadium,New England Patriots
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Indianapolis Colts at Minnesota Vikings,IND @ MIN,2024-11-03 18:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Indianapolis Colts
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Washington Commanders at New York Giants,WSH @ NYG,2024-11-03 18:00:00+00:00,New York Giants,MetLife Stadium,Washington Commanders
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,New Orleans Saints at Carolina Panthers,NO @ CAR,2024-11-03 18:00:00+00:00,Carolina Panthers,Bank of America Stadium,New Orleans Saints
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Denver Broncos at Baltimore Ravens,DEN @ BAL,2024-11-03 18:00:00+00:00,Baltimore Ravens,M&T Bank Stadium,Denver Broncos
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Chicago Bears at Arizona Cardinals,CHI @ ARI,2024-11-03 21:05:00+00:00,Arizona Cardinals,State Farm Stadium,Chicago Bears
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Detroit Lions at Green Bay Packers,DET @ GB,2024-11-03 21:25:00+00:00,Green Bay Packers,Lambeau Field,Detroit Lions
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Los Angeles Rams at Seattle Seahawks,LAR @ SEA,2024-11-03 21:25:00+00:00,Seattle Seahawks,Lumen Field,Los Angeles Rams
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Jacksonville Jaguars at Philadelphia Eagles,JAX @ PHI,2024-11-04 01:20:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Jacksonville Jaguars
Regular Season,2,Week 9,2024-10-30 07:00:00+00:00,2024-11-06 07:59:00+00:00,Tampa Bay Buccaneers at Kansas City Chiefs,TB @ KC,2024-11-05 01:15:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Tampa Bay Buccaneers
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Cincinnati Bengals at Baltimore Ravens,CIN @ BAL,2024-11-08 01:15:00+00:00,Baltimore Ravens,M&T Bank Stadium,Cincinnati Bengals
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,New York Giants at Carolina Panthers,NYG VS CAR,2024-11-10 14:30:00+00:00,Carolina Panthers,Bank of America Stadium,New York Giants
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,New England Patriots at Chicago Bears,NE @ CHI,2024-11-10 18:00:00+00:00,Chicago Bears,Soldier Field,New England Patriots
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Buffalo Bills at Indianapolis Colts,BUF @ IND,2024-11-10 18:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Buffalo Bills
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Denver Broncos at Kansas City Chiefs,DEN @ KC,2024-11-10 18:00:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Denver Broncos
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Atlanta Falcons at New Orleans Saints,ATL @ NO,2024-11-10 18:00:00+00:00,New Orleans Saints,Caesars Superdome,Atlanta Falcons
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,San Francisco 49ers at Tampa Bay Buccaneers,SF @ TB,2024-11-10 18:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,San Francisco 49ers
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Pittsburgh Steelers at Washington Commanders,PIT @ WSH,2024-11-10 18:00:00+00:00,Washington Commanders,Commanders Field,Pittsburgh Steelers
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Minnesota Vikings at Jacksonville Jaguars,MIN @ JAX,2024-11-10 18:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Minnesota Vikings
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Tennessee Titans at Los Angeles Chargers,TEN @ LAC,2024-11-10 21:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Tennessee Titans
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Philadelphia Eagles at Dallas Cowboys,PHI @ DAL,2024-11-10 21:25:00+00:00,Dallas Cowboys,AT&T Stadium,Philadelphia Eagles
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,New York Jets at Arizona Cardinals,NYJ @ ARI,2024-11-10 21:25:00+00:00,Arizona Cardinals,State Farm Stadium,New York Jets
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Detroit Lions at Houston Texans,DET @ HOU,2024-11-11 01:20:00+00:00,Houston Texans,NRG Stadium,Detroit Lions
Regular Season,2,Week 10,2024-11-06 08:00:00+00:00,2024-11-13 07:59:00+00:00,Miami Dolphins at Los Angeles Rams,MIA @ LAR,2024-11-12 01:15:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Miami Dolphins
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Washington Commanders at Philadelphia Eagles,WSH @ PHI,2024-11-15 01:15:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Washington Commanders
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Green Bay Packers at Chicago Bears,GB @ CHI,2024-11-17 18:00:00+00:00,Chicago Bears,Soldier Field,Green Bay Packers
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Jacksonville Jaguars at Detroit Lions,JAX @ DET,2024-11-17 18:00:00+00:00,Detroit Lions,Ford Field,Jacksonville Jaguars
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Minnesota Vikings at Tennessee Titans,MIN @ TEN,2024-11-17 18:00:00+00:00,Tennessee Titans,Nissan Stadium,Minnesota Vikings
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Las Vegas Raiders at Miami Dolphins,LV @ MIA,2024-11-17 18:00:00+00:00,Miami Dolphins,Hard Rock Stadium,Las Vegas Raiders
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Los Angeles Rams at New England Patriots,LAR @ NE,2024-11-17 18:00:00+00:00,New England Patriots,Gillette Stadium,Los Angeles Rams
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Cleveland Browns at New Orleans Saints,CLE @ NO,2024-11-17 18:00:00+00:00,New Orleans Saints,Caesars Superdome,Cleveland Browns
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Baltimore Ravens at Pittsburgh Steelers,BAL @ PIT,2024-11-17 18:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Baltimore Ravens
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Atlanta Falcons at Denver Broncos,ATL @ DEN,2024-11-17 21:05:00+00:00,Denver Broncos,Empower Field at Mile High,Atlanta Falcons
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Seattle Seahawks at San Francisco 49ers,SEA @ SF,2024-11-17 21:05:00+00:00,San Francisco 49ers,Levi's Stadium,Seattle Seahawks
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Kansas City Chiefs at Buffalo Bills,KC @ BUF,2024-11-17 21:25:00+00:00,Buffalo Bills,Highmark Stadium,Kansas City Chiefs
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Cincinnati Bengals at Los Angeles Chargers,CIN @ LAC,2024-11-17 21:25:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Cincinnati Bengals
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Indianapolis Colts at New York Jets,IND @ NYJ,2024-11-18 01:20:00+00:00,New York Jets,MetLife Stadium,Indianapolis Colts
Regular Season,2,Week 11,2024-11-13 08:00:00+00:00,2024-11-20 07:59:00+00:00,Houston Texans at Dallas Cowboys,HOU @ DAL,2024-11-19 01:15:00+00:00,Dallas Cowboys,AT&T Stadium,Houston Texans
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Pittsburgh Steelers at Cleveland Browns,PIT @ CLE,2024-11-22 01:15:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Pittsburgh Steelers
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Minnesota Vikings at Chicago Bears,MIN @ CHI,2024-11-24 18:00:00+00:00,Chicago Bears,Soldier Field,Minnesota Vikings
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Detroit Lions at Indianapolis Colts,DET @ IND,2024-11-24 18:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Detroit Lions
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,New England Patriots at Miami Dolphins,NE @ MIA,2024-11-24 18:00:00+00:00,Miami Dolphins,Hard Rock Stadium,New England Patriots
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Tampa Bay Buccaneers at New York Giants,TB @ NYG,2024-11-24 18:00:00+00:00,New York Giants,MetLife Stadium,Tampa Bay Buccaneers
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Dallas Cowboys at Washington Commanders,DAL @ WSH,2024-11-24 18:00:00+00:00,Washington Commanders,Commanders Field,Dallas Cowboys
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Kansas City Chiefs at Carolina Panthers,KC @ CAR,2024-11-24 18:00:00+00:00,Carolina Panthers,Bank of America Stadium,Kansas City Chiefs
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Tennessee Titans at Houston Texans,TEN @ HOU,2024-11-24 18:00:00+00:00,Houston Texans,NRG Stadium,Tennessee Titans
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Denver Broncos at Las Vegas Raiders,DEN @ LV,2024-11-24 21:05:00+00:00,Las Vegas Raiders,Allegiant Stadium,Denver Broncos
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,San Francisco 49ers at Green Bay Packers,SF @ GB,2024-11-24 21:25:00+00:00,Green Bay Packers,Lambeau Field,San Francisco 49ers
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Arizona Cardinals at Seattle Seahawks,ARI @ SEA,2024-11-24 21:25:00+00:00,Seattle Seahawks,Lumen Field,Arizona Cardinals
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Philadelphia Eagles at Los Angeles Rams,PHI @ LAR,2024-11-25 01:20:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Philadelphia Eagles
Regular Season,2,Week 12,2024-11-20 08:00:00+00:00,2024-11-27 07:59:00+00:00,Baltimore Ravens at Los Angeles Chargers,BAL @ LAC,2024-11-26 01:15:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Baltimore Ravens
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Chicago Bears at Detroit Lions,CHI @ DET,2024-11-28 17:30:00+00:00,Detroit Lions,Ford Field,Chicago Bears
